EQUIPMENT,ORGANIZATION,YEAR MADE,QUANTITY,,,,,
PJ TRAILER 12 FT,CANADIAN ARMY,2004,1,,,,,
PLAFOLIFT SERVICING PLATFORM,ROYAL CANADIAN AIRFORCE,2009,1,,,,,
PLATFORM WHLD TRUCK LIFT,ROYAL CANADIAN NAVY,Unknown,2,,,,,
PNEUMATI- TIRE HOPPER TOWED ROLLER,CANADIAN ARMY,Unknown,1,,,,,
PNEUMATI- TIRE HOPPER TOWED ROLLER,ROYAL CANADIAN AIRFORCE,2012,2,,,,,
POLARIS 4 WHLD ATV,CANADIAN ARMY,2012,16,,,,,
POLARIS 4 WHLD ATV,CANADIAN ARMY,2013,235,,,,,
POLARIS 4 WHLD ATV,CANADIAN JOINT OPERATIONS COMMAND,2013,14,,,,,
POLARIS BIG BOSS ATV 6X6,CANADIAN FORCE SUPPLY DEPOT,2012,1,,,,,
POLARIS DIESEL UTV 4X4,CANADIAN ARMY,2017,36,,,,,
POLARIS RANGER ALL-TERRAIN VEHICLE,CANADIAN ARMY,2008,2,,,,,
POLARIS RANGER CREW LIGHT UTV,CANADIAN ARMY,2013,2,,,,,
POLARIS RANGER CREW UTV,CANADIAN ARMY,2012,4,,,,,
POLARIS RANGER CREW UTV,CANADIAN ARMY,2013,1,,,,,
POLARIS RANGER CREW UTV,CANADIAN JOINT OPERATIONS COMMAND,2012,8,,,,,
POLARIS RANGER CREW UTV,ROYAL CANADIAN AIRFORCE,2012,2,,,,,
POLARIS RANGER DIESEL UTV 4X4,ROYAL CANADIAN AIRFORCE,2016,3,,,,,
POLARIS RANGER LIGHT MULTIPURPOSE UTV,CANADIAN ARMY,2000,1,,,,,
POLARIS RANGER LIGHT MULTIPURPOSE UTV,CANADIAN ARMY,2006,3,,,,,
POLARIS RANGER LIGHT MULTIPURPOSE UTV,ROYAL CANADIAN AIRFORCE,2006,4,,,,,
POLARIS RANGER LIGHT UTV,CANADIAN ARMY,2008,3,,,,,
POLARIS RANGER LIGHT UTV,ROYAL CANADIAN AIRFORCE,1995,2,,,,,
POLARIS RANGER LIGHT UTV,ROYAL CANADIAN AIRFORCE,2005,2,,,,,
POLARIS RANGER LIGHT UTV,ROYAL CANADIAN NAVY,2008,1,,,,,
POLARIS RANGER UTV,ASSISTANT DEPUTY MINISTER (MATERIEL),2011,1,,,,,
POLARIS RANGER UTV,ROYAL CANADIAN AIRFORCE,2010,2,,,,,
POLARIS RANGER UTV 4X4,ASSISTANT DEPUTY MINISTER (INFORMATION MANAGEMENT),2017,1,,,,,
POLARIS RANGER UTV 4X4,CANADIAN ARMY,2015,2,,,,,
POLARIS RANGER UTV 4X4,CANADIAN ARMY,2016,32,,,,,
POLARIS RANGER UTV 4X4,CANADIAN ARMY,2017,1,,,,,
POLARIS RANGER UTV 4X4,ASSISTANT DEPUTY MINISTER (MATERIEL),2017,2,,,,,
POLARIS RANGER UTV 4X4,MILITARY PERSONNEL COMMAND,2015,1,,,,,
POLARIS RANGER UTV 4X4,ROYAL CANADIAN AIRFORCE,2015,3,,,,,
POLARIS RANGER UTV 6X6,CANADIAN ARMY,2011,7,,,,,
POLARIS RANGER UTV 6X6,CANADIAN ARMY,2012,4,,,,,
POLARIS RANGER UTV 6X6,CANADIAN ARMY,2013,20,,,,,
POLARIS RANGER UTV 6X6,CANADIAN ARMY,2014,2,,,,,
POLARIS RANGER UTV 6X6,CANADIAN ARMY,2015,1,,,,,
POLARIS RANGER UTV 6X6,CANADIAN JOINT OPERATIONS COMMAND,2011,1,,,,,
POLARIS RANGER UTV 6X6,ROYAL CANADIAN AIRFORCE,2014,3,,,,,
POLARIS RANGER UTV 6X6,ROYAL CANADIAN NAVY,2014,5,,,,,
POLARIS SLED SELF PROPELLED SNOWMOBILE,CANADIAN ARMY,2007,2,,,,,
POLARIS SLED SELF PROPELLED SNOWMOBILE,MILITARY PERSONNEL COMMAND,2007,1,,,,,
POLARIS SNOWMOBILE,CANADIAN ARMY,2012,2,,,,,
POLARIS SPORTSMAN ATV,CANADIAN ARMY,2007,1,,,,,
POLARIS SPORTSMAN ATV,CANADIAN ARMY,2008,1,,,,,
POLARIS SPORTSMAN ATV,CANADIAN JOINT OPERATIONS COMMAND,2008,2,,,,,
POLARIS SPORTSMAN ATV,ASSISTANT DEPUTY MINISTER (MATERIEL),2005,1,,,,,
POLARIS SPORTSMAN ATV,MILITARY PERSONNEL COMMAND,2009,1,,,,,
POLARIS SPORTSMAN ATV,ROYAL CANADIAN AIRFORCE,2006,2,,,,,
POLARIS SPORTSMAN ATV,ROYAL CANADIAN AIRFORCE,2008,2,,,,,
POLARIS SPORTSMAN ATV,ROYAL CANADIAN AIRFORCE,2009,4,,,,,
POLARIS SPORTSMAN ATV,ROYAL CANADIAN NAVY,2007,2,,,,,
POLARIS SPORTSMAN ATV,ROYAL CANADIAN NAVY,2008,1,,,,,
POLARIS SPORTSMAN ATV 4X2,CANADIAN ARMY,2010,1,,,,,
POLARIS SPORTSMAN ATV 4X2,VICE CHIEF OF THE DEFENCE STAFF,2014,3,,,,,
POLARIS SPORTSMAN ATV 4X4,CANADIAN ARMY,2012,2,,,,,
POLARIS SPORTSMAN ATV 4X4,CANADIAN ARMY,2015,5,,,,,
POLARIS SPORTSMAN ATV 4X4,CANADIAN ARMY,2016,32,,,,,
POLARIS SPORTSMAN ATV 4X4,CANADIAN JOINT OPERATIONS COMMAND,2016,5,,,,,
POLARIS SPORTSMAN ATV 4X4,ROYAL CANADIAN NAVY,2006,2,,,,,
POLARIS SPORTSMAN ATV 4X4,ROYAL CANADIAN NAVY,2017,2,,,,,
POLARIS SPORTSMAN ATV 4X4,VICE CHIEF OF THE DEFENCE STAFF,2016,1,,,,,
POLARIS SPORTSMAN ATV 6X6,ROYAL CANADIAN AIRFORCE,2006,1,,,,,
POLARIS SPORTSMAN ATV 6X6,ROYAL CANADIAN NAVY,2007,1,,,,,
POLARIS TOURING SNOWMOBILE,CANADIAN ARMY,2008,3,,,,,
POLARIS TOURING SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2009,2,,,,,
PONTIAC AUTO SEDAN LARGE,ROYAL CANADIAN AIRFORCE,2008,1,,,,,
PONTIAC MONTANA CARRY-ALL TRUCK,CANADIAN ARMY,2009,5,,,,,
PORTABLE WATER SEMI-TRAILER 43.7 FT,CANADIAN ARMY,2011,2,,,,,
PORTABLE WATER SEMI-TRAILER 43.7 FT,CANADIAN ARMY,2012,1,,,,,
POUDRIER FRERES VAN,CANADIAN FORCE SUPPLY DEPOT,1988,2,,,,,
POUDRIER FRERES VAN,ASSISTANT DEPUTY MINISTER (MATERIEL),1988,9,,,,,
POUNDRIER SEMI-TRAILER,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,1990,1,,,,,
POWER BOSS SWEEPER SCRUBBER,ROYAL CANADIAN NAVY,Unknown,1,,,,,
PRECISION FLAT-BED TRAILER,CANADIAN ARMY,2009,1,,,,,
PRECISION TRAILER FLAT-BED 35KG,CANADIAN ARMY,2010,1,,,,,
PREMIER TANK TRUCK,CANADIAN ARMY,2006,1,,,,,
PREMIER TANK TRUCK,ROYAL CANADIAN AIRFORCE,2006,3,,,,,
PREMIER TANK TRUCK,ROYAL CANADIAN AIRFORCE,2007,1,,,,,
PREMIER TANK TRUCK,ROYAL CANADIAN AIRFORCE,2008,2,,,,,
PREMIER TRUCK,ROYAL CANADIAN AIRFORCE,2009,2,,,,,
PREVOST MOBILE BUS,ROYAL CANADIAN NAVY,2005,2,,,,,
PRIMEX LIGHTING TRAILER,CANADIAN ARMY,2005,26,,,,,
PRIMEX LIGHTING TRAILER,CANADIAN ARMY,2012,13,,,,,
PRIMEX LIGHTING TRAILER,CANADIAN ARMY,2015,3,,,,,
PRIMEX LIGHTING TRAILER,CANADIAN ARMY,2016,3,,,,,
PRIMEX LIGHTING TRAILER,CANADIAN JOINT OPERATIONS COMMAND,2005,6,,,,,
PRIMEX LIGHTING TRAILER,CANADIAN JOINT OPERATIONS COMMAND,2012,38,,,,,
PRIMEX LIGHTING TRAILER,CANADIAN FORCE SUPPLY DEPOT,2005,5,,,,,
PRIMEX LIGHTING TRAILER,CANADIAN FORCE SUPPLY DEPOT,2006,3,,,,,
PRIMEX LIGHTING TRAILER,CANADIAN FORCE SUPPLY DEPOT,2015,1,,,,,
PRIMEX LIGHTING TRAILER,ASSISTANT DEPUTY MINISTER (MATERIEL),2005,2,,,,,
PRIMEX LIGHTING TRAILER,MILITARY PERSONNEL COMMAND,2005,7,,,,,
PRIMEX LIGHTING TRAILER,MILITARY PERSONNEL COMMAND,2015,2,,,,,
PRIMEX LIGHTING TRAILER,ROYAL CANADIAN AIRFORCE,2005,77,,,,,
PRIMEX LIGHTING TRAILER,ROYAL CANADIAN AIRFORCE,2006,12,,,,,
PRIMEX LIGHTING TRAILER,ROYAL CANADIAN AIRFORCE,2010,10,,,,,
PRIMEX LIGHTING TRAILER,ROYAL CANADIAN AIRFORCE,2012,5,,,,,
PRIMEX LIGHTING TRAILER,ROYAL CANADIAN NAVY,2005,3,,,,,
PRIMEX LIGHTING TRAILER,ROYAL CANADIAN NAVY,2006,1,,,,,
PRIMEX LIGHTING TRAILER,ROYAL CANADIAN NAVY,2012,1,,,,,
PRIMEX LIGHTING TRAILER,ROYAL CANADIAN NAVY,2016,2,,,,,
PRINOTH CARRIER TRUCK,CANADIAN ARMY,2007,1,,,,,
PROVER TANK TRAILER 2500 LT,ASSISTANT DEPUTY MINISTER (MATERIEL),2006,1,,,,,
QUADTRAC TRACTOR,ROYAL CANADIAN AIRFORCE,2015,2,,,,,
R&R CARGO TRAILER 500KG 3.5M,CANADIAN ARMY,2012,4,,,,,
RADIO RELAY TERMINAL,CANADIAN ARMY,Unknown,2,,,,,
RADIO RELAY TERMINAL,CANADIAN JOINT OPERATIONS COMMAND,Unknown,4,,,,,
RAINBOW CARGO TRAILER 1000KG 2M,CANADIAN FORCE SUPPLY DEPOT,2007,1,,,,,
RAM CARGO TRUCK 1 3/4T,CANADIAN ARMY,2015,3,,,,,
RAM CARGO TRUCK 1 3/4T,CANADIAN ARMY,2016,4,,,,,
RAM CARGO TRUCK 1 3/4T,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2016,2,,,,,
RAM CARGO TRUCK 1 3/4T,MILITARY PERSONNEL COMMAND,2014,2,,,,,
RAM CARGO TRUCK 1 3/4T,ROYAL CANADIAN AIRFORCE,2014,1,,,,,
RAM CARGO TRUCK 1 3/4T,ROYAL CANADIAN AIRFORCE,2015,31,,,,,
RAM CARGO TRUCK 1.5T 4X4,CANADIAN ARMY,2014,2,,,,,
RAM CARGO TRUCK 1.5T 4X4,ROYAL CANADIAN AIRFORCE,2013,5,,,,,
RAM CARGO TRUCK 1.5T 4X4,ROYAL CANADIAN AIRFORCE,2014,1,,,,,
RAM CARGO TRUCK 1.5T 4X4,ROYAL CANADIAN NAVY,2013,3,,,,,
RAM CARGO TRUCK 1.5T 4X4,ROYAL CANADIAN NAVY,2014,1,,,,,
RAM CARGO TRUCK 3/4T,CANADIAN ARMY,2014,2,,,,,
RAYMOND FORKLIFT,CANADIAN ARMY,1999,1,,,,,
RAYMOND FORKLIFT,CANADIAN ARMY,2001,2,,,,,
RAYMOND FORKLIFT,CANADIAN ARMY,2003,1,,,,,
RAYMOND FORKLIFT,CANADIAN ARMY,2004,1,,,,,
RAYMOND FORKLIFT,CANADIAN ARMY,2005,1,,,,,
RAYMOND FORKLIFT,CANADIAN ARMY,2006,1,,,,,
RAYMOND FORKLIFT,CANADIAN ARMY,2007,8,,,,,
RAYMOND FORKLIFT,CANADIAN ARMY,2008,1,,,,,
RAYMOND FORKLIFT,CANADIAN ARMY,2009,4,,,,,
RAYMOND FORKLIFT,CANADIAN ARMY,Unknown,5,,,,,
RAYMOND FORKLIFT,CANADIAN JOINT OPERATIONS COMMAND,Unknown,1,,,,,
RAYMOND FORKLIFT,CANADIAN FORCE SUPPLY DEPOT,1990,1,,,,,
RAYMOND FORKLIFT,CANADIAN FORCE SUPPLY DEPOT,2016,3,,,,,
RAYMOND FORKLIFT,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2004,1,,,,,
RAYMOND FORKLIFT,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,Unknown,1,,,,,
RAYMOND FORKLIFT,MILITARY PERSONNEL COMMAND,1997,1,,,,,
RAYMOND FORKLIFT,MILITARY PERSONNEL COMMAND,1999,1,,,,,
RAYMOND FORKLIFT,ROYAL CANADIAN AIRFORCE,2005,4,,,,,
RAYMOND FORKLIFT,ROYAL CANADIAN AIRFORCE,2006,2,,,,,
RAYMOND FORKLIFT,ROYAL CANADIAN NAVY,1999,2,,,,,
RAYMOND FORKLIFT,ROYAL CANADIAN NAVY,2000,1,,,,,
RAYMOND FORKLIFT,ROYAL CANADIAN NAVY,2006,5,,,,,
RAYMOND FORKLIFT,ROYAL CANADIAN NAVY,2007,1,,,,,
RAYMOND FORKLIFT,ROYAL CANADIAN NAVY,2009,2,,,,,
RAYMOND FORKLIFT,ROYAL CANADIAN NAVY,2010,1,,,,,
RAYMOND FORKLIFT,VICE CHIEF OF THE DEFENCE STAFF,2002,1,,,,,
RAYMOND FORKLIFT,VICE CHIEF OF THE DEFENCE STAFF,2009,1,,,,,
RAYMOND FORKLIFT 10000 LBS,CANADIAN ARMY,2013,1,,,,,
RAYMOND FORKLIFT 10000 LBS,ROYAL CANADIAN NAVY,2012,2,,,,,
RAYMOND FORKLIFT 10000 LBS,ROYAL CANADIAN NAVY,2013,1,,,,,
RAYMOND FORKLIFT 3000 LBS,CANADIAN ARMY,2008,3,,,,,
RAYMOND FORKLIFT 3000 LBS,CANADIAN ARMY,2011,5,,,,,
RAYMOND FORKLIFT 3000 LBS,CANADIAN ARMY,2012,5,,,,,
RAYMOND FORKLIFT 3000 LBS,CANADIAN ARMY,2013,5,,,,,
RAYMOND FORKLIFT 3000 LBS,CANADIAN ARMY,2014,4,,,,,
RAYMOND FORKLIFT 3000 LBS,CANADIAN ARMY,2015,8,,,,,
RAYMOND FORKLIFT 3000 LBS,ROYAL CANADIAN NAVY,2011,8,,,,,
RAYMOND FORKLIFT 30T,CANADIAN ARMY,2007,1,,,,,
RAYMOND FORKLIFT 30T,CANADIAN ARMY,2008,4,,,,,
RAYMOND FORKLIFT 30T,ROYAL CANADIAN AIRFORCE,2007,3,,,,,
RAYMOND FORKLIFT 30T,ROYAL CANADIAN NAVY,2006,1,,,,,
RAYMOND FORKLIFT 30T,ROYAL CANADIAN NAVY,2007,1,,,,,
RAYMOND FORKLIFT 4000 LBS,CANADIAN JOINT OPERATIONS COMMAND,2010,1,,,,,
RAYMOND PALLET TRUCK,CANADIAN ARMY,1999,3,,,,,
RAYMOND PALLET TRUCK,ROYAL CANADIAN AIRFORCE,2009,1,,,,,
RAYMOND PALLET TRUCK,ROYAL CANADIAN NAVY,2006,4,,,,,
RAYMOND SWING REACH TRUCK,ROYAL CANADIAN AIRFORCE,2010,1,,,,,
RAYMOND SWING REACH TRUCK,ROYAL CANADIAN NAVY,2010,2,,,,,
RAYMOND TRUCK,CANADIAN ARMY,2008,1,,,,,
RAYMOND TRUCK,CANADIAN ARMY,2009,2,,,,,
RAYMOND TRUCK,CANADIAN FORCE SUPPLY DEPOT,2009,1,,,,,
RAYMOND TRUCK LIFT,CANADIAN ARMY,2001,1,,,,,
RAYMOND TRUCK LIFT,CANADIAN ARMY,2009,1,,,,,
RAYMOND TRUCK LIFT,ROYAL CANADIAN NAVY,1999,1,,,,,
RAYMOND TRUCK LIFT,ROYAL CANADIAN NAVY,2000,1,,,,,
RAYMOND TRUCK LIFT,ROYAL CANADIAN NAVY,2005,2,,,,,
RAYMOND TRUCK LIFT,VICE CHIEF OF THE DEFENCE STAFF,1998,1,,,,,
RECOVERY TRUCK,CANADIAN ARMY,1989,91,,,,,
RECOVERY TRUCK,CANADIAN JOINT OPERATIONS COMMAND,1989,4,,,,,
RECOVERY TRUCK,ASSISTANT DEPUTY MINISTER (MATERIEL),1989,2,,,,,
RECOVERY TRUCK,MILITARY PERSONNEL COMMAND,1989,4,,,,,
RECOVERY TRUCK,ROYAL CANADIAN AIRFORCE,1989,4,,,,,
RECYCLING TRAILER 5000KG 2M,CANADIAN ARMY,2012,1,,,,,
REFRIGERATED SEMI-TRAILER VAN,CANADIAN ARMY,2017,1,,,,,
REFUSE TRUCK 5T 4X2,CANADIAN FORCE SUPPLY DEPOT,1986,1,,,,,
REMEQ CANOE TRAILER,CANADIAN ARMY,2009,6,,,,,
REMEQ LOW-BED TRAILER 250KG 3M,ROYAL CANADIAN AIRFORCE,2002,1,,,,,
REMEQ TRAILER,ROYAL CANADIAN AIRFORCE,2004,5,,,,,
REMEQ VAN TRAILER,CANADIAN ARMY,2011,1,,,,,
REMOTE CONTROL MOWER,CANADIAN FORCE SUPPLY DEPOT,2015,1,,,,,
REMTEC TANK SEMI-TRAILER,CANADIAN ARMY,1998,12,,,,,
RHINO LIGHT UTILITY VEHICLE,CANADIAN ARMY,2009,11,,,,,
ROAD RUNNER BOAT 500KG,ROYAL CANADIAN AIRFORCE,2009,1,,,,,
ROAD RUNNER BOAT TRAILER,CANADIAN ARMY,2017,3,,,,,
ROAD RUNNER BOAT TRAILER,ROYAL CANADIAN NAVY,2009,1,,,,,
ROAD RUNNER BOAT TRAILER,ROYAL CANADIAN NAVY,2016,1,,,,,
ROAD RUNNER BOAT TRAILER 1000KG,ROYAL CANADIAN AIRFORCE,2007,1,,,,,
ROAD RUNNER BOAT TRAILER 1000KG,ROYAL CANADIAN NAVY,2016,1,,,,,
ROAD RUNNER BOAT TRAILER 1000KG 5.5M,ROYAL CANADIAN NAVY,2015,1,,,,,
ROAD RUNNER BOAT TRAILER 1500KG,ROYAL CANADIAN NAVY,2017,1,,,,,
ROAD RUNNER BOAT TRAILER 2000KG,ROYAL CANADIAN AIRFORCE,2003,1,,,,,
ROAD RUNNER BOAT TRAILER 3500KG 7.5M,ROYAL CANADIAN NAVY,2011,2,,,,,
ROAD RUNNER BOAT TRAILER 500KG,ROYAL CANADIAN NAVY,2016,1,,,,,
ROAD RUNNER TRAILER POWERBOAT,ROYAL CANADIAN AIRFORCE,2007,2,,,,,
ROAD RUNNER TRAILER POWERBOAT,ROYAL CANADIAN NAVY,2007,1,,,,,
ROCKLAND BEECHQUEE SCREENING UNIT,ROYAL CANADIAN AIRFORCE,Unknown,1,,,,,
ROMANS TRAILER,CANADIAN ARMY,2009,2,,,,,
ROMANS TRAILER,CANADIAN FORCE SUPPLY DEPOT,2011,5,,,,,
ROMANS TRAILER,ROYAL CANADIAN AIRFORCE,2009,4,,,,,
ROMANS TRAILER,ROYAL CANADIAN AIRFORCE,2011,2,,,,,
ROMANS TRAILER,ROYAL CANADIAN AIRFORCE,2013,1,,,,,
ROMANS TRAILER,ROYAL CANADIAN AIRFORCE,2014,1,,,,,
ROMANS TRAILER,ROYAL CANADIAN AIRFORCE,2015,1,,,,,
ROY & BENOT KINGTRAIL TRAILER,ROYAL CANADIAN AIRFORCE,2008,2,,,,,
ROY & BENOT KINGTRAIL TRAILER,ROYAL CANADIAN AIRFORCE,2009,2,,,,,
ROYAL CARGO TRAILER VAN 2000KG,CANADIAN ARMY,2006,2,,,,,
ROYAL CARGO TRAILER VAN 500KG,ROYAL CANADIAN AIRFORCE,2016,2,,,,,
RPM TECH SNOW REMOVAL UNIT,ROYAL CANADIAN AIRFORCE,Unknown,3,,,,,
RPM TECH SNOWBLOWER,CANADIAN ARMY,2000,6,,,,,
RPM TECH SNOWBLOWER,CANADIAN ARMY,2003,1,,,,,
RPM TECH SNOWBLOWER,MILITARY PERSONNEL COMMAND,2006,1,,,,,
RPM TECH SNOWBLOWER,ROYAL CANADIAN AIRFORCE,2003,2,,,,,
RPM TECH SNOWBLOWER,ROYAL CANADIAN AIRFORCE,2005,3,,,,,
RT FLAT-BED TRAILER 1000KG 3.5M,ROYAL CANADIAN AIRFORCE,2004,1,,,,,
RT FLAT-BED TRAILER 20FT,CANADIAN ARMY,2008,1,,,,,
RT WHLD MOUNTED CRANE,ROYAL CANADIAN AIRFORCE,Unknown,1,,,,,
SAGEM TRAILER,CANADIAN FORCE SUPPLY DEPOT,2001,5,,,,,
SAGEM TRAILER,CANADIAN FORCE SUPPLY DEPOT,2002,1,,,,,
SALSCO CHASSIS TRAILER,CANADIAN ARMY,2006,1,,,,,
SATURN CARGO TRAILER,CANADIAN ARMY,2002,1,,,,,
SATURN LOW-BED TRAILER,CANADIAN ARMY,2002,1,,,,,
SAVAGE WALKYRIE CARGO TRAILER,CANADIAN ARMY,2015,1,,,,,
SCHAEFF FORKLIFT 4000 LBS,CANADIAN ARMY,2013,3,,,,,
SCHELTEMA SEMI-TRAILER,CANADIAN ARMY,1997,5,,,,,
SCHELTEMA SEMI-TRAILER,CANADIAN ARMY,1999,4,,,,,
SCHELTEMA SEMI-TRAILER,MILITARY PERSONNEL COMMAND,1997,1,,,,,
SCHELTEMA SEMI-TRAILER,ROYAL CANADIAN AIRFORCE,1997,6,,,,,
SCHUTT IND ANTENNA TRAILER,CANADIAN JOINT OPERATIONS COMMAND,2009,1,,,,,
SCHUTT MOUNTED TRAILER,ROYAL CANADIAN AIRFORCE,2015,1,,,,,
SCONA SEMI-TRAILER,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2005,1,,,,,
SCOOP SKID LOADER,CANADIAN ARMY,2016,1,,,,,
SCOOP SKID LOADER,ROYAL CANADIAN AIRFORCE,2016,1,,,,,
SCOTT TRAILER,ROYAL CANADIAN NAVY,2007,2,,,,,
SCOTT UTILITY TRAILER,CANADIAN ARMY,2002,1,,,,,
SEALMASTER ROAD TRAILER,ROYAL CANADIAN AIRFORCE,2015,2,,,,,
SECA SEWER TRAILER,ROYAL CANADIAN AIRFORCE,2001,1,,,,,
SELF-PROPELLED ROTARY SWEEPER,CANADIAN ARMY,2009,1,,,,,
SELLICK TRACTOR,CANADIAN ARMY,1983,9,,,,,
SELLICK TRACTOR,CANADIAN JOINT OPERATIONS COMMAND,1983,1,,,,,
SELLICK TRACTOR,CANADIAN JOINT OPERATIONS COMMAND,1988,2,,,,,
SELLICK TRACTOR,ASSISTANT DEPUTY MINISTER (MATERIEL),1983,2,,,,,
SELLICK TRACTOR,ASSISTANT DEPUTY MINISTER (MATERIEL),1988,2,,,,,
SELLICK TRACTOR,MILITARY PERSONNEL COMMAND,1983,1,,,,,
SELLICK TRACTOR,ROYAL CANADIAN AIRFORCE,1983,63,,,,,
SELLICK TRACTOR,ROYAL CANADIAN AIRFORCE,1988,29,,,,,
SELLICK TRACTOR,ROYAL CANADIAN AIRFORCE,Unknown,1,,,,,
SELLICK TRACTOR,ROYAL CANADIAN NAVY,1983,8,,,,,
SELLICK TRACTOR,ROYAL CANADIAN NAVY,1988,1,,,,,
SELLICK TRUCK FORKLIFT,CANADIAN ARMY,1998,1,,,,,
SEMI-TRAILER 30T,CANADIAN ARMY,1993,1,,,,,
SEMI-TRAILER 40T 40FT,CANADIAN ARMY,Unknown,3,,,,,
SEMI-TRAILER 40T 40FT,ROYAL CANADIAN AIRFORCE,Unknown,1,,,,,
SEMI-TRAILER VAN,ASSISTANT DEPUTY MINISTER (MATERIEL),Unknown,1,,,,,
SEMI-TRAILER VAN 30T,CANADIAN ARMY,1995,2,,,,,
SEMI-TRAILER VAN 4.5T,CANADIAN ARMY,Unknown,1,,,,,
SEMI-TRAILER VAN 4.5T,CANADIAN FORCE SUPPLY DEPOT,Unknown,1,,,,,
SEMI-TRAILER VAN 4.5T,ROYAL CANADIAN AIRFORCE,Unknown,2,,,,,
SEMI-TRAILER VAN 53FT,ROYAL CANADIAN NAVY,2017,2,,,,,
SEMI-TRAILR VAN 4.5T,CANADIAN ARMY,2011,1,,,,,
SERVICING PLATFORM TRUCK 4X2,CANADIAN ARMY,Unknown,1,,,,,
SETRA HWY-CRUISER BUS,CANADIAN ARMY,2008,10,,,,,
SETRA HWY-CRUISER BUS,CANADIAN ARMY,2009,2,,,,,
SETRA HWY-CRUISER BUS,CANADIAN FORCE SUPPLY DEPOT,2008,2,,,,,
SETRA HWY-CRUISER BUS,ROYAL CANADIAN AIRFORCE,2008,7,,,,,
SETRA HWY-CRUISER BUS,ROYAL CANADIAN AIRFORCE,2009,1,,,,,
SETRA HWY-CRUISER BUS,ROYAL CANADIAN NAVY,2008,1,,,,,
SETRA HWY-CRUISER BUS,ROYAL CANADIAN NAVY,2009,3,,,,,
SHEEPSFOOT TOWED ROLLER,CANADIAN ARMY,Unknown,2,,,,,
SHUTTLELIFT WHLD CRANE 4X4,CANADIAN ARMY,2013,3,,,,,
SHUTTLELIFT WHLD CRANE 4X4,ROYAL CANADIAN NAVY,2016,1,,,,,
SILVER EAGLE TRAILER,ROYAL CANADIAN AIRFORCE,1999,2,,,,,
SISU TRUCK LIFT,CANADIAN ARMY,1997,3,,,,,
SITTLER COMPOST TURNER,MILITARY PERSONNEL COMMAND,2012,1,,,,,
SKANDIC SKI-DOO,CANADIAN ARMY,2012,1,,,,,
SKANDIC SKI-DOO,CANADIAN ARMY,2013,6,,,,,
SKANDIC SKI-DOO,ROYAL CANADIAN AIRFORCE,2013,5,,,,,
SKANDIC SKI-DOO,ROYAL CANADIAN NAVY,2014,2,,,,,
SKID MOUNTED FIREFIGHTING UNIT,CANADIAN ARMY,2008,1,,,,,
SKID MOUNTED FIREFIGHTING UNIT,CANADIAN JOINT OPERATIONS COMMAND,2008,2,,,,,
SKID MOUNTED FIREFIGHTING UNIT,CANADIAN JOINT OPERATIONS COMMAND,2009,2,,,,,
SKID MOUNTED FIREFIGHTING UNIT,ASSISTANT DEPUTY MINISTER (MATERIEL),2008,9,,,,,
SKID MOUNTED FIREFIGHTING UNIT,ASSISTANT DEPUTY MINISTER (MATERIEL),2009,1,,,,,
SKID MOUNTED FIREFIGHTING UNIT,MILITARY PERSONNEL COMMAND,2008,1,,,,,
SKYJACK ELECTRIC PLATFORM LIFT,CANADIAN ARMY,2010,1,,,,,
SKYJACK ELECTRIC PLATFORM LIFT,ROYAL CANADIAN AIRFORCE,2008,2,,,,,
SKYJACK ELECTRIC PLATFORM LIFT,ROYAL CANADIAN AIRFORCE,2009,1,,,,,
SKYJACK ELECTRIC PLATFORM LIFT,VICE CHIEF OF THE DEFENCE STAFF,2007,1,,,,,
SLABACH CABLE REEL TRAILER,ROYAL CANADIAN AIRFORCE,2004,2,,,,,
SLABACH CABLE REEL TRAILER,ROYAL CANADIAN AIRFORCE,2009,1,,,,,
SMI ROTARY SWEEPER,MILITARY PERSONNEL COMMAND,2005,1,,,,,
SMI ROTARY SWEEPER,ROYAL CANADIAN AIRFORCE,2005,29,,,,,
SMI ROTARY SWEEPER,ROYAL CANADIAN NAVY,2005,3,,,,,
SNOW BEAR CARGO TRAILER 500KG 2M,CANADIAN JOINT OPERATIONS COMMAND,2007,1,,,,,
SNOW BEAR FLAT-BED TRAILER,MILITARY PERSONNEL COMMAND,2006,1,,,,,
SNOW BEAR FLAT-BED TRAILER 500KG,MILITARY PERSONNEL COMMAND,2007,1,,,,,
SNOW BEAR LANDSCAPE TRAILER,CANADIAN ARMY,2008,1,,,,,
SNOW KING TRAILER VAN,ROYAL CANADIAN AIRFORCE,2011,1,,,,,
SNOW PRINOTH GROOMER,CANADIAN ARMY,2010,1,,,,,
SNOWBEAR TRAILER,ROYAL CANADIAN NAVY,2008,1,,,,,
SNOWBLOWER TRACTOR,CANADIAN ARMY,Unknown,1,,,,,
SOUDURE CARGO TRAILER 1000KG 3.5M,MILITARY PERSONNEL COMMAND,2002,1,,,,,
