ÉQUIPEMENT,ORGANISATION,ANNÉE FRABRIQUÉ ,QUANTITÉ,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2003,10,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2004,2,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2005,5,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2006,6,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2007,12,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2008,7,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2009,6,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2011,1,,,,,
CHEVROLET CARGO TRUCK,ARMÉE CANADIENNE,2013,1,,,,,
CHEVROLET COBALT SEDAN,ARMÉE CANADIENNE,2008,1,,,,,
CHEVROLET COLORADO PICKUP,ARMÉE CANADIENNE,2005,1,,,,,
CHEVROLET COLORADO PICKUP,ARMÉE CANADIENNE,2007,2,,,,,
CHEVROLET COLORADO PICKUP,ARMÉE CANADIENNE,2010,1,,,,,
CHEVROLET COLORADO PICKUP 1/2T 4x4,ARMÉE CANADIENNE,2016,2,,,,,
CHEVROLET CREW CAB PICKUP 1 3/4T,ARMÉE CANADIENNE,2013,1,,,,,
CHEVROLET CRUZE SEDAN,ARMÉE CANADIENNE,2014,2,,,,,
CHEVROLET CRUZE STATION WAGON,ARMÉE CANADIENNE,2017,6,,,,,
CHEVROLET CUTAWAY TRUCK,ARMÉE CANADIENNE,2002,8,,,,,
CHEVROLET CUTAWAY TRUCK,ARMÉE CANADIENNE,2004,7,,,,,
CHEVROLET CUTAWAY TRUCK,ARMÉE CANADIENNE,2005,26,,,,,
CHEVROLET CUTAWAY TRUCK,ARMÉE CANADIENNE,2007,2,,,,,
CHEVROLET CUTAWAY TRUCK,ARMÉE CANADIENNE,2008,3,,,,,
CHEVROLET EXPRESS 1T 4X2,ARMÉE CANADIENNE,2011,2,,,,,
CHEVROLET EXPRESS CARGO VAN,ARMÉE CANADIENNE,2010,6,,,,,
CHEVROLET EXPRESS CARGO VAN,ARMÉE CANADIENNE,2011,10,,,,,
CHEVROLET EXPRESS CARGO VAN,ARMÉE CANADIENNE,2012,1,,,,,
CHEVROLET EXPRESS CARGO VAN,ARMÉE CANADIENNE,2013,84,,,,,
CHEVROLET EXPRESS CARGO VAN,ARMÉE CANADIENNE,2015,33,,,,,
CHEVROLET EXPRESS CARGO VAN,ARMÉE CANADIENNE,2016,22,,,,,
CHEVROLET EXPRESS CARGO VAN,ARMÉE CANADIENNE,2017,21,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,ARMÉE CANADIENNE,2002,1,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,ARMÉE CANADIENNE,2004,6,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,ARMÉE CANADIENNE,2005,4,,,,,
